invoice_number,issue_date,total,table,title
RathMo-1617-001H,04/07/2016,708.994uu,"Unit Price (Re) LnoWnL (Rs) 686,081552 686.081.2 Produci Code (34210124,AIJR) - TATA ZEST XT QJET ABS 90PS BS4 Diesel Engine Car with HVAC Transaxle, Music Syslem: DAB-PAB, Nos , Wheel Rims $ Nos. [85/60 RIS. RadialTubless Tyres: 2420 WB_Seating Capacu !-Qn+4 Colour Pristin While 625610Q Conccssion Uni Price Aliter Concession 61651652 Tola 924774 708.993.90 Gross OO Adiusuieng mr Grno Wotal 708.994uu Rupecs Sevcn Lakh Leht Kuusuu Hundred pour onl Color PRIS WHTE chassisno MA1624OSIGPDI442 EnguncNo : 10LA2000-061482 eis Nniceincludc followiug 441C Ailme HaxKate TtAmount 12.30 71,06456 Additional VAT 15412.9 Ierms and Condition E: & O. E: Above prices are curreni F-showroom prices: Buyers #ill have (0 prevailing the time of delivery Optionals #cccsonc; IISUAic registrution, laxes; Dcitoi Otlier levizs etc. will be charged exlra as #pplicable: Prices ate for cumEIL specifications Hndene subject = change WIUiot nolice: Prices auid additional charges Houve will be paid completely conclude the sales Pavnents account pavee Cheques {Demand Drafts may be of RATHOD MOTORS payabie at VAPL Accrptance pl advaitce deposits by the sellcr merely an indicalion of an intenticn sell and docs not result into contract of sale. All disputes arising between the parties hereto shall be referred arbitration according t0 the arbitration laws of the couninya Only the courts of VAPI shall have jurisdiction any proceedings relating this conlract The company shall liable duc any prevention hindr lice - delay in manufucture , delivery of vehicles accessories optionals due shortaze of material , strike_ riot; civil commotion, accident machinery breakdown, govemnment policies. acts 0f god and nature_ all events beyond the control of the company 10} Thc seller shall have geteral lien On the for all moneys due the seller from thc buyer on account of this; other transaction provided applicable 12) Vwe hereby cerlify that mylour Registration Certificale under the Gujurat Value Added Tax Act 2003 in force 0n1 lhe date on which the sale 0/ the goods specified in thts Tannorcl made by melus and that Ihe (ransaction of sale covered by this invoice hus been elected by Inc'Us and shall be accounted for in the turnover of sales while filing ellni und the due tax; if any . payable on lhe sale has been paid or shall paid , Ho, For RATHOD MOTORS conicr. Signature Authansed Sjenatoty Dealership DAMAN ROAD, CHALA, VAPI 396 191. Dealership Branch 14.15 Shivani Park, T+91 260 2402400. 24202300 Opp. Shankheshwar Complex; Nr; Kaliawadi Bridge, Kaliawadi Email ceo; rathadmotors@gmail.com Navsari 396 445. Phone (02637) 236127. Rookino Form Tolzl Fiue Ninety pitess have fuvor nol be goods Taxcs",DVpzc_lVQAAfuRo.jpg
52148,01/02/2020,220.00,Item Description Price Qty Total Lorem Ipsum Dolor $50.00 $50.00 Pellentesque id neque Iigula $20.00 $60.00 Interdum et malesuada fames $10.00 $20.00 Vivamus volutpat faucibus $90.00 $890.00,pngtree-modern-sample-business-invoice-stationery-design-png-image_6154599.png
DEL5-2187145,25/08/2019,21490.00,"NolDescription Unit Price Discountloty Amount RatelTypelAmount Amount Isamsung Galaxy A50 (Black; 6GB RAM; 64GB Istorage) with No Cost EMIAdditional Exchange Ofters BOZKXC3VHW BO7KXC3VHW R19,187.501 {o.oo k819.187.50/12% liGsTl {2,302.50/821,490.00 HSN:8517 (shipping Charges {35.71 {35.71 Ro.oo 12% lIGST Ro.0o Ro.oo ITOTAL: {2,302.50/{21,490.00 Amount in Words: Twenty-one Thousand Four Hundred And Ninety only For Appario Retail Private Ltd: 9e Authorized Signatory ASSPL-Amazon Seller Semvices Pvt. Ltd . ARIPL Amazon Retail India Pvt. Ltd. (only where Amazon Retail India Pvt. Lid . iulfillment center CD- lccated) Custorers dlesirous availing input GST credit are requested creale Business account and purchase On Arnazom ibusiress frorn Business eligible offers Please rote that this invoice deiand tor payment Zanbou Page",thumb_1200_1697.png
INV-000099,21/01/2021,342.881,"No. ofPieces Total Weight NetGross Commodity Full Descriptionof No. of ltems Unit Total Country of | Total Total Gross Code Goods Value Value Origin Net Weight Weight 444444444 17 Wheels 2.00 Each] 39.58 79.12 CN 2.20 SVG-Colou 1.00 Eachl 283.75 283.75 1.00 Monitor 26) Total Value 342.881 AII figures are in GBP currency 27) Shipping Charge 20.0i 28) Reason for Export Sale 29) CPC Code 123456 30) Terms of Delivery Delivered Duty Paid 31) These goods are not Licencable for Export - NoLicense Required: Period from 01/01/2021t0 31/12/2021 The exporter ofthe products coveredbythis document (Exportel Reference No: TPUK123456789) declares that; exceptwhere othenwise clearly indicated,these products are OfEU preferentialorigin. 32) Forand on behalf of the above named company: - Signature= Print Namez Date_ Position in Company:",Commercial-Invoice-Tab-3.png
1,04/04/2020,52510,"Description of Goods HSN/SAC Quantity Rate per Amount
Dell 17 inch Monitor 8471 5 Nos 8,900.00 Nos 44,500.00",tax-invoice.jpg
974/7021,09/24/2021,3610.00,"Irem Name Unitsihms Subtotal
Brand Bouk zuldelines [or 10pcs 350.0
Zcjo,od Zcjo.od coldis Lype; Zraphgand pholos 350.0
Sdatal 350.0",Indy_Invoice_Template_Sample_PDF_1251c5d47f-.jpg
INV-17,08/02/2020,662.75,"ITEM & DESCRIPTION DISCOUNT AMOUNT
Brochure Design 0.00 300.00
Brochure Design Single Sided Color .0O 300.00
Web Design Packages(Template) _ Basic 0.00 250.00
Custom Themes for your business: Inclusive of .00 250.00
10 hours of marketing and annual training
Print Ad - Basic Color 0.00 80.00
Print Ad 1/8 size Color 1,00 80,00",microsoft-model-template-2x.png
IB1674,02/07/2002,,Type Full Description Qty Units of |WWeight |Unit Value,FedEx-CI-example.png
UshiF-000003,10/18/2022,380.00,"Description Unit Total Price
HDMI Cables Pcs 18,00 630.00
HDMI Cables Pcs 30.00 750.00",commercial-invoice-example.png
1064,04/04/20,125.09,"EVENT DATE LOCATION DUE DATE
April 04, 201/ Valdosta, Georgia
Description Unit Price Total
Open Records Request 10.02 12.5
Staff Hours 24.2 6.06
Subtotal 125.09
Shipping Miscellaneous
Balance 125.09",invoice-format.jpg
RSN/18-19/4126,09/03/2019,76900.00,"Description of Goods HSN/SAC Quantity Rate per Disc: % Amount Rate SAMSUNG S10PLUS 85171290 12% No.|68.660.71 No_ 68,660.71 512G8 G975 CERAMIC BLACK Bolch: No SGsT 4,119.64 CGST 4,119.64 Round Ont 0.01 Tota Noj 76,900.00",WhatsApp Image 2019-11-17 at 12.13.32.jpeg
Ctoooo1,01/01/2021,10000.08,"Item Name Quantity Price Unit GST Amount
VI/UX Design Mobile phoze 100.08 1200.08 200.08 (128)
VI/UX Design Mobile phoze 100.08 1200.08 200.08 (128)
Total 514 880 . 00 Fourteen Thousand Eight Hundrad Eiohtu Aupeea Only
Sub Total 10,000.08 Custom field manan32i@ybi
CGSTzst 440.08 Custom fiel pa'sue
SGSTz6t 440.08 doing business with YOU
Custom field pa'sue doing business with YOU
Made With Thank youl Clear One",image-59.png
#982093,20/08/2020,2112.25,DESCRIPTION QTY. PRICE TOTAL Web Design 1 $200.00 $ 200.00 Branding 1 $350.00 $ 350.00 Graphic Design 27 $55.00 $ 1485.00 Web Development $450.00 $450.00 SUB TOTAL $ 2485.00 TAX(15%) $ 2112.25 GRAND TOTAL $ 2112.25,modern-corporate-invoice-sample-design-template-abf94f862ed7e0c2f6c5dc1526029a42_screen.jpg
,20/06/2020,518.00,Product Quantity Price EStore Beanie with Logo $18.00,Invoice-Sample.png
US-001,11/02/2019,154.06,QTY DESCRIPTION UNIT PRICE AMOUNT Front and rear brake cables 100.00 100.00 New set of pedal arms 15.00 30.00 Labor 3hrs 5.00 15.00 Sublotal 145.00 Sales Tax 6.25% 9.06 TOTAL S154.06,invoice-template-us-neat-750px.png
